hex_id,stat,utci_present,utci_2050,utci_2090
957,typical_day_mean_utci,34.52,38.88,42.29
1035,typical_day_mean_utci,33.9,38.11,41.37
996,typical_day_mean_utci,33.85,38.07,41.31
958,typical_day_mean_utci,33.99,38.23,41.51
1036,typical_day_mean_utci,33.71,37.88,41.08
997,typical_day_mean_utci,33.82,38.03,41.27
1037,typical_day_mean_utci,33.81,38.02,41.26
959,typical_day_mean_utci,34.23,38.52,41.85
998,typical_day_mean_utci,33.78,37.96,41.18
1038,typical_day_mean_utci,32.02,35.6,38.21
1078,typical_day_mean_utci,31.77,35.28,37.82
726,typical_day_mean_utci,33.94,38.17,41.42
687,typical_day_mean_utci,34.24,38.52,41.83
727,typical_day_mean_utci,34.0,38.24,41.5
649,typical_day_mean_utci,35.21,39.85,43.52
688,typical_day_mean_utci,34.97,39.42,42.92
728,typical_day_mean_utci,34.4,38.71,42.06
650,typical_day_mean_utci,35.26,39.91,43.6
689,typical_day_mean_utci,35.24,39.83,43.47
729,typical_day_mean_utci,35.01,39.56,43.15
651,typical_day_mean_utci,35.26,39.99,43.78
766,typical_day_mean_utci,33.88,38.1,41.34
806,typical_day_mean_utci,34.42,38.76,42.15
845,typical_day_mean_utci,35.09,39.58,43.12
767,typical_day_mean_utci,34.7,39.13,42.6
807,typical_day_mean_utci,35.23,39.8,43.42
768,typical_day_mean_utci,35.2,39.81,43.48
846,typical_day_mean_utci,35.22,39.82,43.46
808,typical_day_mean_utci,35.18,39.72,43.3
847,typical_day_mean_utci,35.23,39.81,43.44
769,typical_day_mean_utci,35.14,39.76,43.43
883,typical_day_mean_utci,35.14,39.68,43.27
922,typical_day_mean_utci,35.18,39.75,43.36
884,typical_day_mean_utci,35.26,39.89,43.56
923,typical_day_mean_utci,35.25,39.86,43.51
885,typical_day_mean_utci,35.2,39.82,43.47
924,typical_day_mean_utci,35.22,39.79,43.41
886,typical_day_mean_utci,35.19,39.77,43.39
925,typical_day_mean_utci,35.22,39.76,43.35
887,typical_day_mean_utci,35.11,39.61,43.15
926,typical_day_mean_utci,34.84,39.28,42.77
690,typical_day_mean_utci,35.24,39.87,43.55
730,typical_day_mean_utci,35.25,39.86,43.51
652,typical_day_mean_utci,35.03,39.6,43.23
691,typical_day_mean_utci,35.19,39.75,43.36
653,typical_day_mean_utci,34.89,39.37,42.89
731,typical_day_mean_utci,35.22,39.79,43.42
692,typical_day_mean_utci,35.1,39.67,43.29
732,typical_day_mean_utci,35.27,39.89,43.56
654,typical_day_mean_utci,34.86,39.3,42.78
693,typical_day_mean_utci,35.08,39.62,43.21
809,typical_day_mean_utci,35.19,39.8,43.46
770,typical_day_mean_utci,35.2,39.84,43.53
848,typical_day_mean_utci,35.3,39.87,43.49
810,typical_day_mean_utci,35.28,39.93,43.63
771,typical_day_mean_utci,35.13,39.73,43.38
849,typical_day_mean_utci,35.25,39.89,43.58
811,typical_day_mean_utci,35.32,39.97,43.67
772,typical_day_mean_utci,35.24,39.86,43.53
850,typical_day_mean_utci,35.08,39.63,43.22
812,typical_day_mean_utci,35.26,39.86,43.51
888,typical_day_mean_utci,35.04,39.51,43.03
927,typical_day_mean_utci,34.55,38.91,42.32
889,typical_day_mean_utci,35.12,39.66,43.25
928,typical_day_mean_utci,34.28,38.58,41.91
890,typical_day_mean_utci,33.76,37.92,41.11
929,typical_day_mean_utci,33.96,38.18,41.44
891,typical_day_mean_utci,33.91,38.13,41.38
852,typical_day_mean_utci,34.87,39.31,42.8
930,typical_day_mean_utci,34.2,38.5,41.84
892,typical_day_mean_utci,34.19,38.47,41.79
655,typical_day_mean_utci,34.07,38.33,41.63
733,typical_day_mean_utci,35.15,39.75,43.4
694,typical_day_mean_utci,34.79,39.27,42.8
656,typical_day_mean_utci,34.03,38.29,41.57
734,typical_day_mean_utci,34.83,39.29,42.8
695,typical_day_mean_utci,34.83,39.3,42.82
735,typical_day_mean_utci,34.58,38.99,42.44
657,typical_day_mean_utci,34.25,38.54,41.87
696,typical_day_mean_utci,33.85,38.07,41.3
736,typical_day_mean_utci,33.31,37.33,40.38
851,typical_day_mean_utci,34.54,38.92,42.33
773,typical_day_mean_utci,35.04,39.6,43.2
813,typical_day_mean_utci,34.76,39.21,42.69
774,typical_day_mean_utci,34.65,39.06,42.5
814,typical_day_mean_utci,33.96,38.2,41.47
775,typical_day_mean_utci,33.63,37.77,40.93
815,typical_day_mean_utci,33.87,38.09,41.34
776,typical_day_mean_utci,33.85,38.06,41.3
658,typical_day_mean_utci,33.97,38.21,41.47
697,typical_day_mean_utci,32.78,36.63,39.51
737,typical_day_mean_utci,31.78,35.29,37.83
853,typical_day_mean_utci,34.14,38.42,41.74
931,typical_day_mean_utci,34.2,38.49,41.82
893,typical_day_mean_utci,34.15,38.43,41.75
854,typical_day_mean_utci,33.99,38.22,41.49
960,typical_day_mean_utci,34.19,38.46,41.78
999,typical_day_mean_utci,33.94,38.13,41.37
1039,typical_day_mean_utci,32.88,36.75,39.65
961,typical_day_mean_utci,34.59,38.96,42.39
1000,typical_day_mean_utci,34.54,38.9,42.31
1040,typical_day_mean_utci,33.63,37.76,40.93
962,typical_day_mean_utci,34.81,39.23,42.7
1001,typical_day_mean_utci,34.48,38.83,42.22
1041,typical_day_mean_utci,33.59,37.69,40.84
963,typical_day_mean_utci,35.16,39.7,43.3
1079,typical_day_mean_utci,33.82,38.03,41.26
1080,typical_day_mean_utci,33.5,37.59,40.72
1081,typical_day_mean_utci,32.71,36.53,39.38
1002,typical_day_mean_utci,34.03,38.28,41.56
1042,typical_day_mean_utci,32.83,36.7,39.6
964,typical_day_mean_utci,34.49,38.84,42.24
1003,typical_day_mean_utci,34.16,38.44,41.77
965,typical_day_mean_utci,34.73,39.14,42.59
1043,typical_day_mean_utci,33.92,38.13,41.38
